epoch,step,min,max,mean,std
1,1000,-0.03645879030227661,-0.006652281619608402,-0.02615628018975258,0.008883124217391014
2,2000,-0.013264354318380356,-0.00039730407297611237,-0.007855694741010666,0.0030867098830640316
3,3000,-0.06496216356754303,0.0012529900996014476,-0.031247757375240326,0.023484669625759125
4,4000,-0.024221619591116905,0.010389180853962898,-8.422955579590052e-05,0.005667783785611391
5,5000,-0.016903821378946304,0.022462161257863045,0.0030239755287766457,0.007286343723535538
6,6000,-0.02464769408106804,0.020030740648508072,0.002440309152007103,0.006277068518102169
7,7000,-0.03276339918375015,0.011480902321636677,-0.004799531772732735,0.009762784466147423
8,8000,-0.05066186934709549,0.026570938527584076,-0.008395529352128506,0.016097603365778923
9,9000,-0.022141283378005028,0.009096045047044754,-0.003572130110114813,0.008048761636018753
10,10000,-0.04025210812687874,0.01681159809231758,-0.0018171200063079596,0.009182182140648365
11,11000,-0.0476863794028759,0.02741474099457264,-0.009054101072251797,0.017107849940657616
12,12000,-0.0023564384318888187,0.04582839086651802,0.008886976167559624,0.013925021514296532
13,13000,-0.006052227225154638,0.028566725552082062,0.005407164338976145,0.009146789088845253
14,14000,-0.03364977240562439,0.00920899584889412,-0.0018513768445700407,0.006039145402610302
15,15000,-0.036770571023225784,0.007254395168274641,-0.00692768907174468,0.011305085383355618
16,16000,-0.021576520055532455,0.026333332061767578,-0.006819690577685833,0.008478629402816296
17,17000,-0.031032010912895203,0.0043355002999305725,-0.009302287362515926,0.005167085211724043
18,18000,-0.030758021399378777,0.02252190187573433,-0.009600639343261719,0.0069991773925721645
19,19000,-0.027032945305109024,0.018324412405490875,-0.01022934541106224,0.008120963349938393
20,20000,-0.02593974769115448,0.008125066757202148,-0.010889526456594467,0.004613393452018499
21,21000,-0.03283289074897766,0.00022335723042488098,-0.014942941255867481,0.005250649061053991
