epoch,step,min,max,mean,std
1,1000,-0.03646116703748703,-0.007970762439072132,-0.026689685881137848,0.008088243193924427
2,2000,-0.009174024686217308,0.001254071481525898,-0.0045647528022527695,0.0023812551517039537
3,3000,-0.07597102224826813,-0.01362281572073698,-0.04501403868198395,0.02267966791987419
4,4000,-0.031087329611182213,-0.006719695404171944,-0.014583835378289223,0.004469743464142084
5,5000,-0.028955115005373955,0.021718140691518784,-0.0061296201311051846,0.011580229736864567
6,6000,-0.03382014483213425,0.005042571574449539,-0.01320134662091732,0.006883619818836451
7,7000,-0.038721032440662384,0.0034547168761491776,-0.01328139379620552,0.006547832861542702
8,8000,-0.05743973329663277,0.025772739201784134,-0.02102811262011528,0.01445856224745512
9,9000,-0.05215068161487579,0.001474142074584961,-0.020364118739962578,0.011909798718988895
10,10000,-0.06341108679771423,0.004317283630371094,-0.020714163780212402,0.015106561593711376
11,11000,-0.0361953042447567,0.0305345356464386,-0.013225148431956768,0.01141795702278614
12,12000,-0.02168124169111252,0.016894496977329254,-0.01191147044301033,0.006952194031327963
13,13000,-0.021613163873553276,0.009735899046063423,-0.01402248628437519,0.005238525569438934
14,14000,-0.03420640528202057,-0.003979207947850227,-0.017263198271393776,0.005656603258103132
15,15000,-0.04279394820332527,-0.0013435101136565208,-0.019096221774816513,0.007094222586601973
16,16000,-0.03499535098671913,0.028959903866052628,-0.006408950313925743,0.010106806643307209
17,17000,-0.016968075186014175,0.014038927853107452,-0.005867484025657177,0.005449067335575819
18,18000,-0.030459359288215637,0.010276362299919128,-0.01049246545881033,0.0063377367332577705
19,19000,-0.015084691345691681,0.031196095049381256,0.0022929413244128227,0.008558088913559914
20,20000,-0.010598355904221535,0.0033327648416161537,-0.0038473792374134064,0.002732387976720929
21,21000,-0.02882780134677887,0.0044894712045788765,-0.005576932802796364,0.006066642701625824
