1,1000,-56.272893619537356
2,2000,-53.975528182983396
3,3000,-71.47912342453003
4,4000,-132.26065844726563
5,5000,-231.5976245880127
6,6000,-343.39149060058594
7,7000,-441.98908560180666
8,8000,-509.87479937744143
9,9000,-573.4047800292968
10,10000,-625.2419454650878
11,11000,-664.4508289794921
12,12000,-667.9590646057129
13,13000,-654.4558312072754
14,14000,-630.5650592346192
15,15000,-599.8130314941407
16,16000,-564.895048248291
17,17000,-524.2122160949707
18,18000,-484.690063079834
19,19000,-444.10018923950196
20,20000,-412.75046533203124
21,21000,-391.18505307006836
22,22000,-356.41371122741697
23,23000,-264.53312660217284
24,24000,-136.5137196044922
25,25000,-60.007222845077514
26,26000,-27.9279496679306
27,27000,-15.889123406410217
28,28000,-10.491086917877197
29,29000,-7.883168507575989
30,30000,-6.3569611682891844
31,31000,-5.446875007152557
32,32000,-4.78578640127182
33,33000,-4.268261130332947
34,34000,-3.8447281999588014
35,35000,-3.4748086438179016
36,36000,-3.1455327303409577
37,37000,-2.842673620223999
38,38000,-2.5771813426017762
39,39000,-2.3411697340011597
40,40000,-2.1233400938510893
41,41000,-1.9291275188922883
42,42000,-1.754266338944435
43,43000,-1.5952861846685409
44,44000,-1.450556285262108
45,45000,-1.3223561463356017
46,46000,-1.2028955109119415
47,47000,-1.0970253084897994
48,48000,-1.0002152934670447
49,49000,-0.9116235834360122
50,50000,-0.8324341385364532
1,1000,-65.46616566467286
2,2000,-68.31811238098145
1,1000,-65.46616566467286
2,2000,-68.31811238098145
3,3000,-90.37318553924561
4,4000,-207.01945780944826
5,5000,-510.4912907104492
6,6000,-979.3226115417481
7,7000,-1545.606301147461
8,8000,-2147.2640546875
9,9000,-2729.361508544922
10,10000,-3188.108684448242
11,11000,-3602.1773825683595
12,12000,-3897.9586259765624
13,13000,-4069.1532966308596
14,14000,-3991.245090576172
15,15000,-3734.534657714844
16,16000,-3347.735190917969
17,17000,-3083.821569824219
18,18000,-2798.8451822509764
19,19000,-2533.0074047851563
20,20000,-2251.151513671875
21,21000,-1868.038787109375
1,1000,-65.46616566467286
2,2000,-68.31811238098145
3,3000,-90.37318553924561
4,4000,-207.01945780944826
5,5000,-510.4912907104492
6,6000,-979.3226115417481
7,7000,-1545.606301147461
8,8000,-2147.2640546875
9,9000,-2729.361508544922
10,10000,-3188.108684448242
11,11000,-3602.1773825683595
12,12000,-3897.9586259765624
13,13000,-4069.1532966308596
14,14000,-3991.245090576172
15,15000,-3734.534657714844
16,16000,-3347.735190917969
17,17000,-3083.821569824219
18,18000,-2798.8451822509764
19,19000,-2533.0074047851563
20,20000,-2251.151513671875
21,21000,-1868.038787109375
1,1000,-65.46616566467286
2,2000,-68.31811238098145
3,3000,-90.37318553924561
4,4000,-207.01945780944826
5,5000,-510.4912907104492
6,6000,-979.3226115417481
7,7000,-1545.606301147461
8,8000,-2147.2640546875
9,9000,-2729.361508544922
10,10000,-3188.108684448242
11,11000,-3602.1773825683595
12,12000,-3897.9586259765624
13,13000,-4069.1532966308596
14,14000,-3991.245090576172
15,15000,-3734.534657714844
16,16000,-3347.735190917969
17,17000,-3083.821569824219
18,18000,-2798.8451822509764
19,19000,-2533.0074047851563
20,20000,-2251.151513671875
21,21000,-1868.038787109375
