epoch,step,min,max,mean,std
1,1000,0.1804438829421997,0.1804438829421997,0.1804438829421997,0.0
2,2000,0.23900675773620605,0.23900675773620605,0.23900675773620605,0.0
3,3000,-0.3502205014228821,-0.3502205014228821,-0.3502205014228821,0.0
4,4000,0.9575163125991821,0.9575163125991821,0.9575163125991821,0.0
5,5000,-1.9376188516616821,-1.9376188516616821,-1.9376188516616821,0.0
6,6000,-2.3704519271850586,-2.3704519271850586,-2.3704519271850586,0.0
7,7000,-0.8989789485931396,-0.8989789485931396,-0.8989789485931396,0.0
8,8000,2.3420069217681885,2.3420069217681885,2.3420069217681885,0.0
9,9000,0.6407740116119385,0.6407740116119385,0.6407740116119385,0.0
10,10000,-0.3736531734466553,-0.3736531734466553,-0.3736531734466553,0.0
11,11000,3.9446980953216553,3.9446980953216553,3.9446980953216553,0.0
12,12000,1.762487769126892,1.762487769126892,1.762487769126892,0.0
13,13000,5.608478546142578,5.608478546142578,5.608478546142578,0.0
14,14000,2.846275568008423,2.846275568008423,2.846275568008423,0.0
15,15000,-3.114008665084839,-3.114008665084839,-3.114008665084839,0.0
16,16000,0.7908347845077515,0.7908347845077515,0.7908347845077515,0.0
17,17000,3.4808530807495117,3.4808530807495117,3.4808530807495117,0.0
18,18000,-1.2820464372634888,-1.2820464372634888,-1.2820464372634888,0.0
19,19000,-1.5479477643966675,-1.5479477643966675,-1.5479477643966675,0.0
20,20000,0.09570246934890747,0.09570246934890747,0.09570246934890747,0.0
21,21000,0.6082041263580322,0.6082041263580322,0.6082041263580322,0.0
