epoch,step,min,max,mean,std
1,1000,0.9256457090377808,0.9256457090377808,0.9256457090377808,0.0
2,2000,0.8733062744140625,0.8733062744140625,0.8733062744140625,0.0
3,3000,0.8546990156173706,0.8546990156173706,0.8546990156173706,0.0
4,4000,0.9537432789802551,0.9537432789802551,0.9537432789802551,0.0
5,5000,1.0959675312042236,1.0959675312042236,1.0959675312042236,0.0
6,6000,1.2292308807373047,1.2292308807373047,1.2292308807373047,0.0
7,7000,1.3364121913909912,1.3364121913909912,1.3364121913909912,0.0
8,8000,1.447208285331726,1.447208285331726,1.447208285331726,0.0
9,9000,1.5453376770019531,1.5453376770019531,1.5453376770019531,0.0
10,10000,1.6737749576568604,1.6737749576568604,1.6737749576568604,0.0
11,11000,1.8077278137207031,1.8077278137207031,1.8077278137207031,0.0
12,12000,1.9568876028060913,1.9568876028060913,1.9568876028060913,0.0
13,13000,2.096019744873047,2.096019744873047,2.096019744873047,0.0
14,14000,2.227825403213501,2.227825403213501,2.227825403213501,0.0
15,15000,2.323568820953369,2.323568820953369,2.323568820953369,0.0
16,16000,2.425074577331543,2.425074577331543,2.425074577331543,0.0
17,17000,2.5037283897399902,2.5037283897399902,2.5037283897399902,0.0
18,18000,2.5457963943481445,2.5457963943481445,2.5457963943481445,0.0
19,19000,2.469222068786621,2.469222068786621,2.469222068786621,0.0
20,20000,2.338761568069458,2.338761568069458,2.338761568069458,0.0
21,21000,2.252037763595581,2.252037763595581,2.252037763595581,0.0
