epoch,step,min,max,mean,std
1,1000,-0.4836706221103668,0.8780660033226013,0.012664555571973324,0.20606251060962677
2,2000,-0.2829554080963135,0.31748491525650024,-0.002539484528824687,0.09528099000453949
3,3000,-0.7162317633628845,1.5367053747177124,0.0453743115067482,0.40641334652900696
4,4000,-0.38616305589675903,0.11752647161483765,-0.07698222249746323,0.09096624702215195
5,5000,-1.2316923141479492,1.034557580947876,-0.2846086621284485,0.5889624953269958
6,6000,-1.3457257747650146,1.450814962387085,0.04916699603199959,0.8544972538948059
7,7000,-1.6029272079467773,1.4666717052459717,0.19760051369667053,0.8367481231689453
8,8000,-0.5957504510879517,0.7959097623825073,0.12119431048631668,0.3465379774570465
9,9000,-3.261514186859131,2.2609500885009766,-0.2995203733444214,1.6878612041473389
10,10000,-1.6349825859069824,2.392455577850342,0.10179643332958221,0.9667909145355225
11,11000,-1.5118207931518555,1.7491942644119263,0.007354751229286194,0.9103999137878418
12,12000,-0.9613809585571289,0.8088173270225525,-0.07279548794031143,0.45679759979248047
13,13000,-4.840578079223633,5.520546913146973,1.058290958404541,2.9623355865478516
14,14000,-1.6309596300125122,1.3338232040405273,-0.12732024490833282,0.8928304314613342
15,15000,-0.3946456015110016,0.851717472076416,0.4061214327812195,0.3126283884048462
16,16000,-0.343997061252594,15.494551658630371,10.898122787475586,4.208334445953369
17,17000,0.639098048210144,13.674440383911133,9.378768920898438,3.3676350116729736
18,18000,0.3190283477306366,12.451333045959473,8.62082290649414,3.248591661453247
19,19000,-0.20325961709022522,18.82756233215332,13.410872459411621,5.330170631408691
20,20000,0.06684517860412598,15.527730941772461,11.34335708618164,4.4108567237854
21,21000,0.0018241405487060547,17.430299758911133,12.675588607788086,4.947904109954834
