epoch,step,min,max,mean,std
1,1000,-0.05151715502142906,0.019157322123646736,-0.006138118915259838,0.015283580869436264
2,2000,-0.0711977407336235,0.007124613970518112,-0.019456245005130768,0.018096597865223885
3,3000,-0.040283121168613434,0.03519326075911522,9.140896145254374e-05,0.01614360138773918
4,4000,-0.015597154386341572,0.7373188138008118,0.15071603655815125,0.17123615741729736
5,5000,-0.009136122651398182,0.7505118250846863,0.1537182480096817,0.18383148312568665
6,6000,-0.7468796968460083,0.07394794374704361,-0.11114511638879776,0.19196242094039917
7,7000,-0.0788763090968132,0.2064228057861328,0.018520552664995193,0.05760132893919945
8,8000,-0.11089546233415604,0.02423842065036297,-0.020836470648646355,0.024204004555940628
9,9000,-0.49979928135871887,0.12638987600803375,-0.05984589830040932,0.134409099817276
10,10000,-3.1191725730895996,0.02569212205708027,-0.5533065795898438,0.7744651436805725
11,11000,-0.025014348328113556,1.5529347658157349,0.35448479652404785,0.4060743749141693
12,12000,-1.425156831741333,0.15254594385623932,-0.25290247797966003,0.3656592071056366
13,13000,-0.8285252451896667,0.2570120096206665,-0.11643177270889282,0.21969369053840637
14,14000,-0.2140538990497589,0.24225658178329468,0.016783103346824646,0.06916084885597229
15,15000,-1.2952624559402466,0.15564179420471191,-0.2793411612510681,0.3134702742099762
16,16000,-0.23062251508235931,0.1321755051612854,-0.037429437041282654,0.06586933135986328
17,17000,-0.44572487473487854,0.38334378600120544,-0.009158479049801826,0.16765154898166656
18,18000,-0.761050820350647,0.8981704711914062,0.061932094395160675,0.31002312898635864
19,19000,-0.584833025932312,6.701589107513428,0.6255483031272888,1.226433277130127
20,20000,-1.1458101272583008,0.05169368162751198,-0.2049569934606552,0.26423922181129456
21,21000,-1.5820471048355103,0.10631541907787323,-0.23709020018577576,0.35800302028656006
