epoch,step,min,max,mean,std
1,1000,-0.10986529290676117,0.007144463714212179,-0.025027547031641006,0.028340302407741547
2,2000,-0.14694350957870483,0.03088034689426422,-0.02214166894555092,0.033261992037296295
3,3000,-0.02858123928308487,0.8052157759666443,0.17014482617378235,0.20166052877902985
4,4000,-0.07860931754112244,2.901210069656372,0.6724929809570312,0.8729662299156189
5,5000,-0.5557578206062317,0.31184372305870056,-0.13526153564453125,0.1464671939611435
6,6000,-0.022891758009791374,2.5641684532165527,0.6323487758636475,0.7411106824874878
7,7000,-3.6792960166931152,0.01779692806303501,-0.8283827304840088,1.0450738668441772
8,8000,-0.2754998505115509,0.5492205023765564,0.11666485667228699,0.1328648030757904
9,9000,-1.136399507522583,1.0985218286514282,-0.013416990637779236,0.4273415207862854
10,10000,-0.03264274448156357,1.1440234184265137,0.3874613642692566,0.33463072776794434
11,11000,-0.8577737808227539,0.614670991897583,-0.08596288412809372,0.31302517652511597
12,12000,-3.1241772174835205,0.12067323923110962,-0.834361732006073,0.8262196183204651
13,13000,-2.2057762145996094,2.4789462089538574,0.14355875551700592,0.930975079536438
14,14000,-0.09909500926733017,4.735336780548096,1.1544287204742432,1.1348779201507568
15,15000,-0.6424251794815063,2.2846314907073975,0.44536566734313965,0.6345371007919312
16,16000,-0.4340096712112427,4.612746715545654,0.8190957903862,1.2353898286819458
17,17000,-1.5750199556350708,0.23148727416992188,-0.22594067454338074,0.3302564322948456
18,18000,-0.551847517490387,5.389675140380859,0.8559527397155762,1.468290090560913
19,19000,-3.0671234130859375,0.3140149414539337,-0.38678663969039917,0.5648952722549438
20,20000,-6.894217491149902,0.7891695499420166,-1.0995979309082031,1.8767187595367432
21,21000,-0.06446512788534164,10.757048606872559,1.9482529163360596,2.8074371814727783
