epoch,step,min,max,mean,std
1,1000,-0.33770427107810974,0.5798454880714417,-0.0010073173325508833,0.05080875754356384
2,2000,-0.2756000757217407,0.3682372570037842,-0.003396851709112525,0.04518187418580055
3,3000,-0.7250011563301086,0.4130832552909851,0.011187824420630932,0.09185879677534103
4,4000,-3.405977725982666,1.7274454832077026,0.04577863588929176,0.35283592343330383
5,5000,-5.67045783996582,2.961249828338623,0.08897379040718079,0.7623501420021057
6,6000,-8.604802131652832,5.751482963562012,0.048201508820056915,1.3374327421188354
7,7000,-7.076731204986572,3.949647903442383,0.1994524747133255,1.2899448871612549
8,8000,-6.964402675628662,6.096884250640869,0.33670109510421753,1.3919271230697632
9,9000,-9.476409912109375,7.508340358734131,0.33186763525009155,1.8147947788238525
10,10000,-11.663552284240723,10.852221488952637,0.7181635499000549,2.2060420513153076
11,11000,-14.254386901855469,13.212861061096191,0.7645166516304016,2.644721031188965
12,12000,-13.391186714172363,12.97386360168457,0.7826445698738098,2.5809104442596436
13,13000,-13.616878509521484,13.809213638305664,0.9790042042732239,2.6283891201019287
14,14000,-17.569129943847656,16.012285232543945,0.9045582413673401,3.0085465908050537
15,15000,-13.420018196105957,13.356541633605957,0.9572310447692871,2.50728178024292
16,16000,-10.712449073791504,11.03138542175293,0.8322886824607849,2.074434280395508
17,17000,-10.462019920349121,11.301886558532715,0.8864463567733765,2.226213216781616
18,18000,-16.702539443969727,16.184633255004883,1.0461161136627197,3.0785059928894043
19,19000,-9.44566535949707,12.966147422790527,1.5468848943710327,2.496613025665283
20,20000,-2.6851351261138916,4.274478912353516,0.6182094812393188,0.9485467076301575
21,21000,-1.083681344985962,0.8387031555175781,0.012337548658251762,0.26909032464027405
